track_id,danceability,energy,acousticness,valence,tempo,loudness
61kb2mR3pXl43ALuoEQlVW,0.597,0.241,0.913,0.741,179.53,-17.264
3G23KWXfqo9zDH85dfcdOX,0.855,0.367,0.748,0.885,122.224,-17.743
4OEMFscrXttHu6VEk11ZBD,0.405,0.0787,0.973,0.506,81.044,-23.399
3zLmmL8Za4DbSKMXW65aA5,0.592,0.252,0.729,0.891,175.069,-19.604
5Go9opqXfZKh4sBAuoxbaq,0.824,0.464,0.791,0.921,109.603,-15.272
64ihTS2BPXI00Jx8NfSfDJ,0.868,0.45,0.813,0.955,107.462,-15.588
4vb2A9yZnOGC6Zl1yx6iBL,0.573,0.229,0.88,0.838,158.75,-17.241
5oL7AbricD85nfVbpWiQz9,0.8,0.21,0.919,0.56,119.441,-14.863
1YKxDpbjyjHROsxcllqqtR,0.716,0.405,0.824,0.968,121.773,-15.598
12Ip6aNi34yS7U5xN2WJRF,0.737,0.126,0.938,0.803,118.063,-17.863
5b87LELGjkjWD2uQIWOAJj,0.623,0.641,0.784,0.923,140.013,-12.892
68tUSF4R2dYOyGL2N2HDBC,0.557,0.424,0.925,0.963,176.96,-15.006
1RBeBxvaBlJTvJ72Ejc3Um,0.683,0.103,0.853,0.668,121.803,-19.202
1gJX8XpQIeamJYlVIaBkNQ,0.818,0.141,0.758,0.688,112.548,-23.099
11VQb0HsbyWM0Ha6yCJlWK,0.701,0.521,0.812,0.963,136.505,-13.315
2sevvnMrqH607r5lwk3kFT,0.775,0.559,0.108,0.804,122.229,-8.377
5rPnv4gceOGKCqbN06F2aJ,0.641,0.657,0.276,0.602,78.132,-9.354
6ZXmTH4DpP07a2TvHx1EF9,0.913,0.724,0.372,0.748,103.33,-8.527
7vggqxNKwd6xdRoYS0pQtM,0.825,0.494,0.00974,0.626,74.103,-10.486
0QyBdoz2JktWEo111DBEx9,0.93,0.462,0.128,0.777,124.065,-8.643
0q5giEtY4wsFTwjWqswLwx,0.797,0.574,0.229,0.814,78.183,-7.268
4FNm4ZJaUVLDCMXcqwS6zY,0.751,0.463,0.642,0.926,150.191,-10.96
1efuoLEUL1K0D96d63svRO,0.824,0.522,0.0159,0.581,126.238,-8.567
2BSwGHTh4kmckqXQfaCaAp,0.73,0.508,0.0716,0.936,76.494,-9.575
60e5PcqGmlVFQ0HHgUagCJ,0.797,0.644,0.338,0.706,96.87,-9.253
